Code,Country,Age,Year,Population
ISR,Israel,25_29,2013,582110
ISR,Israel,25_29,2014,585092
ISR,Israel,25_29,2015,590088
ISR,Israel,25_29,2016,596047
ISR,Israel,25_29,2017,602900
ISR,Israel,25_29,2018,608109
ISR,Israel,30_34,1995,373600
ISR,Israel,30_34,1996,371100
ISR,Israel,30_34,1997,378200
ISR,Israel,30_34,1998,386800
ISR,Israel,30_34,1999,399400
ISR,Israel,30_34,2000,416300
ISR,Israel,30_34,2001,436000
ISR,Israel,30_34,2002,455800
ISR,Israel,30_34,2003,474000
ISR,Israel,30_34,2004,490700
ISR,Israel,30_34,2005,506930
ISR,Israel,30_34,2006,521922
ISR,Israel,30_34,2007,534144
ISR,Israel,30_34,2008,542646
ISR,Israel,30_34,2009,547172
ISR,Israel,30_34,2010,548342
ISR,Israel,30_34,2011,545146
ISR,Israel,30_34,2012,555191
ISR,Israel,30_34,2013,562959
ISR,Israel,30_34,2014,571522
ISR,Israel,30_34,2015,578135
ISR,Israel,30_34,2016,584735
ISR,Israel,30_34,2017,590300
ISR,Israel,30_34,2018,591707
ISR,Israel,35_39,1995,363100
ISR,Israel,35_39,1996,364900
ISR,Israel,35_39,1997,369000
ISR,Israel,35_39,1998,372500
ISR,Israel,35_39,1999,377100
ISR,Israel,35_39,2000,382500
ISR,Israel,35_39,2001,387900
ISR,Israel,35_39,2002,393100
ISR,Israel,35_39,2003,399500
ISR,Israel,35_39,2004,408800
ISR,Israel,35_39,2005,421898
ISR,Israel,35_39,2006,438839
ISR,Israel,35_39,2007,457552
ISR,Israel,35_39,2008,475663
ISR,Israel,35_39,2009,500939
ISR,Israel,35_39,2010,515826
ISR,Israel,35_39,2011,526972
ISR,Israel,35_39,2012,539311
ISR,Israel,35_39,2013,546615
ISR,Israel,35_39,2014,551928
ISR,Israel,35_39,2015,556487
ISR,Israel,35_39,2016,558751
ISR,Israel,35_39,2017,562400
ISR,Israel,35_39,2018,569068
ISR,Israel,40_44,1995,358500
ISR,Israel,40_44,1996,361400
ISR,Israel,40_44,1997,363000
ISR,Israel,40_44,1998,364900
ISR,Israel,40_44,1999,369200
ISR,Israel,40_44,2000,375100
ISR,Israel,40_44,2001,379700
ISR,Israel,40_44,2002,382500
ISR,Israel,40_44,2003,384200
ISR,Israel,40_44,2004,385600
ISR,Israel,40_44,2005,386971
ISR,Israel,40_44,2006,389630
ISR,Israel,40_44,2007,393912
ISR,Israel,40_44,2008,400263
ISR,Israel,40_44,2009,423713
ISR,Israel,40_44,2010,435908
ISR,Israel,40_44,2011,451805
ISR,Israel,40_44,2012,469036
ISR,Israel,40_44,2013,486588
ISR,Israel,40_44,2014,502655
ISR,Israel,40_44,2015,518439
ISR,Israel,40_44,2016,532786
ISR,Israel,40_44,2017,544800
ISR,Israel,40_44,2018,550896
ISR,Israel,45_49,1995,317100
ISR,Israel,45_49,1996,337600
ISR,Israel,45_49,1997,346900
ISR,Israel,45_49,1998,354200
ISR,Israel,45_49,1999,363700
ISR,Israel,45_49,2000,370900
ISR,Israel,45_49,2001,373400
ISR,Israel,45_49,2002,373600
ISR,Israel,45_49,2003,373900
ISR,Israel,45_49,2004,375800
ISR,Israel,45_49,2005,378511
ISR,Israel,45_49,2006,380818
ISR,Israel,45_49,2007,382415
ISR,Israel,45_49,2008,383602
ISR,Israel,45_49,2009,396933
ISR,Israel,45_49,2010,399409
ISR,Israel,45_49,2011,403730
ISR,Israel,45_49,2012,407867
ISR,Israel,45_49,2013,414324
ISR,Israel,45_49,2014,424569
ISR,Israel,45_49,2015,437581
ISR,Israel,45_49,2016,454137
ISR,Israel,45_49,2017,473300
ISR,Israel,45_49,2018,489456
ISR,Israel,50_54,1995,199500
ISR,Israel,50_54,1996,220800
ISR,Israel,50_54,1997,250900
ISR,Israel,50_54,1998,282200
ISR,Israel,50_54,1999,308600
ISR,Israel,50_54,2000,332300
ISR,Israel,50_54,2001,349300
ISR,Israel,50_54,2002,356500
ISR,Israel,50_54,2003,361600
ISR,Israel,50_54,2004,368200
ISR,Israel,50_54,2005,372228
ISR,Israel,50_54,2006,372685
ISR,Israel,50_54,2007,371776
ISR,Israel,50_54,2008,371534
ISR,Israel,50_54,2009,381822
ISR,Israel,50_54,2010,385753
ISR,Israel,50_54,2011,389539
ISR,Israel,50_54,2012,391138
ISR,Israel,50_54,2013,393200
ISR,Israel,50_54,2014,395957
ISR,Israel,50_54,2015,399310
ISR,Israel,50_54,2016,404113
ISR,Israel,50_54,2017,409700
ISR,Israel,50_54,2018,415299
ISR,Israel,55_59,1995,199300
ISR,Israel,55_59,1996,201700
ISR,Israel,55_59,1997,199800
ISR,Israel,55_59,1998,196600
ISR,Israel,55_59,1999,197800
ISR,Israel,55_59,2000,206500
ISR,Israel,55_59,2001,225500
ISR,Israel,55_59,2002,255500
ISR,Israel,55_59,2003,286600
ISR,Israel,55_59,2004,311500
ISR,Israel,55_59,2005,332286
ISR,Israel,55_59,2006,346643
ISR,Israel,55_59,2007,352322
ISR,Israel,55_59,2008,356732
ISR,Israel,55_59,2009,369008
ISR,Israel,55_59,2010,373479
ISR,Israel,55_59,2011,374567
ISR,Israel,55_59,2012,374111
ISR,Israel,55_59,2013,375038
ISR,Israel,55_59,2014,378193
ISR,Israel,55_59,2015,382823
ISR,Israel,55_59,2016,386670
ISR,Israel,55_59,2017,389800
ISR,Israel,55_59,2018,391599
ISR,Israel,60_64,1995,177000
ISR,Israel,60_64,1996,185200
ISR,Israel,60_64,1997,192100
ISR,Israel,60_64,1998,198900
ISR,Israel,60_64,1999,205900
ISR,Israel,60_64,2000,211000
ISR,Israel,60_64,2001,211900
ISR,Israel,60_64,2002,207400
ISR,Israel,60_64,2003,200600
ISR,Israel,60_64,2004,198300
ISR,Israel,60_64,2005,204280
ISR,Israel,60_64,2006,221750
ISR,Israel,60_64,2007,250685
ISR,Israel,60_64,2008,281100
ISR,Israel,60_64,2009,308243
ISR,Israel,60_64,2010,329149
ISR,Israel,60_64,2011,344012
ISR,Israel,60_64,2012,349146
ISR,Israel,60_64,2013,354615
ISR,Israel,60_64,2014,362502
ISR,Israel,60_64,2015,367653
ISR,Israel,60_64,2016,369329
ISR,Israel,60_64,2017,369900
ISR,Israel,60_64,2018,371041
ISR,Israel,65_69,1995,168800
ISR,Israel,65_69,1996,174800
ISR,Israel,65_69,1997,176200
ISR,Israel,65_69,1998,177500
ISR,Israel,65_69,1999,178300
ISR,Israel,65_69,2000,180100
ISR,Israel,65_69,2001,184400
ISR,Israel,65_69,2002,191300
ISR,Israel,65_69,2003,198000
ISR,Israel,65_69,2004,203400
ISR,Israel,65_69,2005,205755
ISR,Israel,65_69,2006,204634
ISR,Israel,65_69,2007,199228
ISR,Israel,65_69,2008,192492
ISR,Israel,65_69,2009,193676
ISR,Israel,65_69,2010,200109
ISR,Israel,65_69,2011,218307
ISR,Israel,65_69,2012,246400
ISR,Israel,65_69,2013,277618
ISR,Israel,65_69,2014,299228
ISR,Israel,65_69,2015,320567
ISR,Israel,65_69,2016,335407
ISR,Israel,65_69,2017,341400
ISR,Israel,65_69,2018,346540
ISR,Israel,70_74,1995,149200
ISR,Israel,70_74,1996,159700
ISR,Israel,70_74,1997,163000
ISR,Israel,70_74,1998,163700
ISR,Israel,70_74,1999,163900
ISR,Israel,70_74,2000,164700
ISR,Israel,70_74,2001,165100
ISR,Israel,70_74,2002,165300
ISR,Israel,70_74,2003,165700
ISR,Israel,70_74,2004,165400
ISR,Israel,70_74,2005,166298
ISR,Israel,70_74,2006,170129
ISR,Israel,70_74,2007,176620
ISR,Israel,70_74,2008,183241
ISR,Israel,70_74,2009,190629
ISR,Israel,70_74,2010,193345
ISR,Israel,70_74,2011,193910
ISR,Israel,70_74,2012,188651
ISR,Israel,70_74,2013,182866
ISR,Israel,70_74,2014,182255
ISR,Israel,70_74,2015,189027
ISR,Israel,70_74,2016,206358
ISR,Israel,70_74,2017,234600
ISR,Israel,70_74,2018,262019
ISR,Israel,75_79,1995,90600
ISR,Israel,75_79,1996,99600
ISR,Israel,75_79,1997,108900
ISR,Israel,75_79,1998,119400
ISR,Israel,75_79,1999,128600
ISR,Israel,75_79,2000,135100
ISR,Israel,75_79,2001,139700
ISR,Israel,75_79,2002,142100
ISR,Israel,75_79,2003,142300
ISR,Israel,75_79,2004,141700
ISR,Israel,75_79,2005,141838
ISR,Israel,75_79,2006,141827
ISR,Israel,75_79,2007,142152
ISR,Israel,75_79,2008,143025
ISR,Israel,75_79,2009,145200
ISR,Israel,75_79,2010,146980
ISR,Israel,75_79,2011,151825
ISR,Israel,75_79,2012,156994
ISR,Israel,75_79,2013,163888
ISR,Israel,75_79,2014,169822
ISR,Israel,75_79,2015,172971
ISR,Israel,75_79,2016,173343
ISR,Israel,75_79,2017,169900
ISR,Israel,75_79,2018,164252
ISR,Israel,80_84,1995,74600
ISR,Israel,80_84,1996,74800
ISR,Israel,80_84,1997,71400
ISR,Israel,80_84,1998,68000
ISR,Israel,80_84,1999,67100
ISR,Israel,80_84,2000,69900
ISR,Israel,80_84,2001,75800
ISR,Israel,80_84,2002,83500
ISR,Israel,80_84,2003,92100
ISR,Israel,80_84,2004,99300
ISR,Israel,80_84,2005,104279
ISR,Israel,80_84,2006,107809
ISR,Israel,80_84,2007,109545
ISR,Israel,80_84,2008,109936
ISR,Israel,80_84,2009,110643
ISR,Israel,80_84,2010,111929
ISR,Israel,80_84,2011,114047
ISR,Israel,80_84,2012,113739
ISR,Israel,80_84,2013,115003
ISR,Israel,80_84,2014,116012
ISR,Israel,80_84,2015,118107
ISR,Israel,80_84,2016,122044
ISR,Israel,80_84,2017,128200
ISR,Israel,80_84,2018,133497
ISR,Israel,85_OVER,1995,45400
ISR,Israel,85_OVER,1996,52300
ISR,Israel,85_OVER,1997,56100
ISR,Israel,85_OVER,1998,59700
ISR,Israel,85_OVER,1999,62800
ISR,Israel,85_OVER,2000,65400
ISR,Israel,85_OVER,2001,65900
ISR,Israel,85_OVER,2002,65100
ISR,Israel,85_OVER,2003,64600
ISR,Israel,85_OVER,2004,65900
ISR,Israel,85_OVER,2005,69272
ISR,Israel,85_OVER,2006,73183
ISR,Israel,85_OVER,2007,77557
ISR,Israel,85_OVER,2008,83016
ISR,Israel,85_OVER,2009,93963
ISR,Israel,85_OVER,2010,100103
ISR,Israel,85_OVER,2011,105870
ISR,Israel,85_OVER,2012,108403
ISR,Israel,85_OVER,2013,111877
ISR,Israel,85_OVER,2014,115507
ISR,Israel,85_OVER,2015,118831
ISR,Israel,85_OVER,2016,121512
ISR,Israel,85_OVER,2017,124100
ISR,Israel,85_OVER,2018,127753
